ChEMBL_ID,SMILES,pIC50
CHEMBL68920,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,7.3872161432802645
CHEMBL68920,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,6.522878745280337
CHEMBL68920,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,5.106793246940152
CHEMBL69960,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,6.769551078621726
CHEMBL69960,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,7.3979400086720375
CHEMBL69960,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,6.356547323513812
CHEMBL137635,CN(c1ccccc1)c1ncnc2ccc(N/N=N/Cc3ccccn3)cc12,5.031517051446065
CHEMBL306988,CC(=C(C#N)C#N)c1ccc(NC(=O)CCC(=O)O)cc1,3.3010299956639813
CHEMBL66879,O=C(O)/C=C/c1ccc(O)cc1,2.5228787452803374
CHEMBL77085,N#CC(C#N)=Cc1cc(O)ccc1[N+](=O)[O-],4.017728766960431
CHEMBL443268,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)N(C)c2ncnc(Nc3ccc(F)c(Cl)c3)c21,5.274905478918531
CHEMBL76979,COc1cc(/C=C(\C#N)C(=O)O)cc(OC)c1O,3.5783960731301687
CHEMBL76589,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)cc1,6.903089986991944
CHEMBL77724,COc1cc(C=C(C#N)C#N)cc(OC)c1,2.9030899869919438
CHEMBL420385,N#CC(C#N)=Cc1ccc(N2CCOCC2)cc1,3.2041199826559246
CHEMBL76904,N#CC(C#N)=Cc1ccc(O)c(O)c1,4.455931955649724
CHEMBL1009,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,3.0457574905606752
CHEMBL304271,CCN(CC)CC(O)CNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,9.346787486224656
CHEMBL296407,N#C/C(=C\c1ccc(O)c(O)c1)C(N)=O,5.0
CHEMBL309625,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)c([N+](=O)[O-])c1,4.221848749616356
CHEMBL77825,COc1ccc(NN=C(C#N)C#N)cc1,3.221848749616356
CHEMBL421877,COc1cc(C=C(C#N)C#N)cc(OC)c1O,3.070581074285707
CHEMBL310798,N#CC(C#N)=Cc1cc(O)c(O)c(O)c1,5.522878745280337
CHEMBL135592,C/N=N/Nc1ccc2ncnc(N(C)c3ccccc3)c2c1,5.096910013008056
CHEMBL309866,N#C/C(=C\c1ccc([N+](=O)[O-])cc1)C(=O)O,2.886056647693163
CHEMBL77381,N#C/C(=C/c1ccc[nH]1)C(=O)O,2.8664610916297826
CHEMBL76602,N#C/C(=C\c1ccc(O)cc1)C(=O)O,3.7825160557860937
CHEMBL77737,N#CC(C#N)=Cc1ccncc1,3.6020599913279625
CHEMBL76983,N#CC(C#N)=Cc1ccc(F)cc1,2.9030899869919438
CHEMBL308134,N#CC(C#N)=Cc1ccc(O)c([N+](=O)[O-])c1,3.9030899869919438
CHEMBL136491,CN(C)/N=N/c1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,7.853871964321762
CHEMBL77280,CC(=C(C#N)C#N)c1ccc(N)cc1,2.9030899869919438
CHEMBL76557,N#CCNC(=O)/C(C#N)=C/c1ccc(O)cc1,3.2041199826559246
CHEMBL336113,Cc1cccc(Nc2ncnc3ccc(N)cc23)c1,6.0
CHEMBL133024,C/N=N/Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,7.0
CHEMBL344652,CN(C)/N=N/c1ccc2ncnc(N(C)c3ccccc3)c2c1,4.874518734299406
CHEMBL77814,N#CC(C#N)=CNc1ccc(O)cc1,3.4559319556497243
CHEMBL47986,O=CN/C=C/c1cc(O)ccc1O,4.853871964321762
CHEMBL138125,Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccn4)cc23)c1,6.623423042943488
CHEMBL137364,Brc1cccc(Nc2ncnc3ccc(N/N=N/CCN4CCOCC4)cc23)c1,7.1938200260161125
CHEMBL308339,N#CC(C#N)=C1C(=O)NC(=O)NC1=O,2.853871964321762
CHEMBL78174,N#CC(C#N)=Cc1ccc(C(=O)O)cc1,3.3665315444204134
